,Unnamed: 0,comment_url,comment_createdAt,comment_id,comment_viewCount,comment_lang,comment_author_createdAt,comment_location,comment_text,isComment_self__decalred__location__El_Salvador,comment_processed_text,post_url,post_actor_createdAt,post_id,post_isReply,post_inReplyToId,post_isRetweet,post_isQuote,post_viewCount,post_retweetCount,post_likeCount,post_replyCount,post_lang,actor_location,post_name,post_description,post_followers,post_verified,post_text,isActor_self__decalred__location__El_Salvador,post_processed_text,actor_affiliation,llama3_output,llama3_reason,manual labeling
302,1420,https://x.com/evinrodriguez/status/1759951734208696783,1708440166.0,1.75995e+18,24586.0,es,23/06/2011,,"@MarceloLarin1 Es admirable el crecimiento que tuvo @ClaudiaOrtizSV en realidad representa a la verdadera oposición, sin gritos, sin ofensas, respetando la opinión de los demás, la que de verdad ganó fue ella, y lo hizo en base de trabajo, es por eso el miedo que le tienen",False,es admirable el crecimiento que tuvo en realidad representa a la verdadera oposición sin gritos sin ofensas respetando la opinión de los demás la que de verdad ganó fue ella y lo hizo en base de trabajo es por eso el miedo que le tienen,https://x.com/MarceloLarin1/status/1759942551593746709,1708437977.0,1.75994e+18,False,,False,False,93253.0,162.0,921.0,871.0,es,ALPHA CENTAURI,MARCELO LARIN,"CONFERENCISTA, CONSULTOR Y ASESOR DE NAYIB BUKELE.",64221.0,True,"Madre me acaban de pasar el dato que sin FRAUDE N.I solo logró 38 diputados 🤣🤣🤣🤣.
y por eso les urgía el FRAUDE jajaja. 
y aún haciendo FRAUDE perdieron 6 diputados que palista les pegó el pueblo.

Siempre supe que estaba en el lado correcto de la historia 👏👏",False,madre me acaban de pasar el dato que sin fraude ni solo logró 38 diputados y por eso les urgía el fraude jajaja y aún haciendo fraude perdieron 6 diputados que palista les pegó el pueblo siempre supe que estaba en el lado correcto de la historia,Media,1.0,"The tweet praises the growth and behavior of the opposition, highlighting their respectful and hardworking nature, indicating a positive sentiment towards their actions.",1
166,742,https://x.com/OscarBriceno_/status/1773197412879770054,1711598182.0,1.7732e+18,17.0,es,15/08/2009,"Miami, FL","@nayibbukele Entonces deje ese régimen para toda la vida, Sr. Presidente. El Salvador se transformó 🇸🇻",False,entonces deje ese régimen para toda la vida sr presidente el salvador se transformó,https://x.com/nayibbukele/status/1773195373512708317,1711597696.0,1.7732e+18,False,,False,False,491093.0,2159.0,9912.0,497.0,es,El Salvador,Nayib Bukele,Philosopher King,6211015.0,True,"Hoy cumplimos 2 años del Régimen de Excepción 🇸🇻

Today we mark 2 years of the Exception Regime 🇸🇻 https://t.co/9N74btnjaQ",True,hoy cumplimos 2 años del régimen de excepción today we mark 2 years of the exception regime,Government,-1.0,"The tweet expresses a negative sentiment towards the current president, implying that they should not have stayed in power for so long, and that El Salvador has been transformed negatively under their leadership.",0
706,4387,https://x.com/maespinozal/status/1786527311468114126,1714776277.0,1.78653e+18,12.0,es,24/07/2014,,"@suecallejas A todos ? O la orden es para NI, bueno … si todos es lo mismo.",False,a todos o la orden es para ni bueno si todos es lo mismo,https://x.com/suecallejas/status/1786430963947335686,1714753306.0,1.78643e+18,False,,False,False,120838.0,351.0,1829.0,627.0,es,"San Salvador, El Salvador",Suecy Callejas Estrada,"Bailarina🙆🏻‍♀️,  Gestora Cultural, Abogada, Diputada VP de la Asamblea Legislativa de El Salvador.🇸",132956.0,True,"A TODOS los alcaldes y concejales del país: 

El pueblo salvadoreño los eligió para trabajar y mejorar sus municipios, es inaudito que en la primera reunión de concejo su primera decisión es aumentarse el sueldo. Dejen sin efecto esos acuerdos, pidan disculpas y dejen de inventar excusas para tratar de justificar lo injustificable.",True,a todos los alcaldes y concejales del país el pueblo salvadoreño los eligió para trabajar y mejorar sus municipios es inaudito que en la primera reunión de concejo su primera decisión es aumentarse el sueldo dejen sin efecto esos acuerdos pidan disculpas y dejen de inventar excusas para tratar de justificar lo injustificable,,-1.0,"The tweet expresses a negative sentiment as it implies that everyone is the same and there is no distinction or recognition of individual differences, which is a critical tone.",-1
629,4083,https://x.com/Grappler91/status/1266926374448750600,1590893760.0,1.26693e+18,,es,27/02/2011,,"@MariaLuisaHayem @nayibbukele @AsambleaSV @CONANCASTRO2 @Nelfuent @EconomiaSV @ComunicacionSV @PresidenciaSV @MorenaValdezSV @MonicaAyalaGue1 @AlejandroZelay9 Hubiera querido escuchar sus posturas y sus aportes técnicos, así se reforzana o se hacía ver la realidad del aporte de los diputados.",False,hubiera querido escuchar sus posturas y sus aportes técnicos así se reforzana o se hacía ver la realidad del aporte de los diputados,https://x.com/MariaLuisaHayem/status/1266908776117960704,1590889564.0,1.26691e+18,False,,False,False,,209.0,2607.0,84.0,es,El Salvador,María Luisa Hayem 🇸🇻,Ministra de Economía de El Salvador,41321.0,False,"En medio de una pandemia, representantes del Gobierno del Presidente @NayibBukele, acudimos a la Comisión Política de la @AsambleaSV, con el  objetivo de dialogar  y contar con las herramientas para velar por el bien común de nuestro país. https://t.co/HeV6oeKbUS",True,en medio de una pandemia representantes del gobierno del presidente acudimos a la comisión política de la con el objetivo de dialogar y contar con las herramientas para velar por el bien común de nuestro país,Government,0.0,"The tweet presents a neutral sentiment, asking to hear the opinions and technical contributions of the deputies to reinforce or make visible the reality of their contribution, without expressing a positive or negative sentiment.",0
27,158,https://x.com/HYanetlvarez1/status/1775700320007446746,1712194921.0,1.7757e+18,73.0,es,01/06/2020,,@nayibbukele Pero con un régimen. Cual es la política de seguridad?,False,pero con un régimen cual es la política de seguridad,https://x.com/nayibbukele/status/1775699870231224819,1712194814.0,1.7757e+18,False,,False,False,939997.0,3896.0,15975.0,998.0,es,El Salvador,Nayib Bukele,Philosopher King,6211024.0,True,"Durante el medio siglo de guerra que vivió nuestro país, siempre nos dijeron que era imposible vivir diferente.

Ahora que al fin lo hemos logrado, hacen todo lo posible para que volvamos al pasado.

During the half century of war that our country endured, we were always told that living differently was impossible.

Now that we have finally achieved it, they do everything possible to make us return to the past.",True,durante el medio siglo de guerra que vivió nuestro país siempre nos dijeron que era imposible vivir diferente ahora que al fin lo hemos logrado hacen todo lo posible para que volvamos al pasado during the half century of war that our country endured we were always told that living differently was impossible now that we have finally achieved it they do everything possible to make us return to the past,Government,0.0,"The tweet asks a question about the security policy of a regime, presenting a neutral tone without expressing a positive or negative sentiment.",0
1001,6341,https://x.com/nayolindolfo/status/1777404442226090146,1712601216.0,1.7774e+18,344.0,es,30/11/2022,,"@Vi11atoro Gracias señor ministro, PNC y FFAAs",False,gracias señor ministro pnc y ffaas,https://x.com/Vi11atoro/status/1777333531716235689,1712584309.0,1.77733e+18,False,,False,False,97238.0,300.0,1863.0,212.0,es,,Gustavo Villatoro 🇸🇻,Ministro de Justicia y Seguridad Pública,66426.0,True,"Si no han entendido que las pandillas ya no tienen lugar en nuestra sociedad, nosotros sí tenemos claro dónde deben estar. Ya no vivimos más en los tiempos perversos en que les diseñaban leyes para que fueran impunes; ahora, como mínimo, los menores de edad enfrentan 20 años tras las rejas y a los mayores les corresponden 40 años.

Tras una operación exitosa por parte de nuestra @PNCSV, se logró la captura de seis individuos, incluyendo a uno mayor de edad, todos ellos miembros de la estructura MS13. Estos sujetos se dedicaban a realizar grafitis relacionados con la pandilla en centros educativos y zonas recreativas del departamento de Usulután.

Se trata de:
➡️Kevin Yohalmo Cerritos Coreas, alias “Pupusa”
➡️Roberto C., alias “Piojiyin”
➡️Carlos S., alias “Negro”
➡️Moisés A., alias “El Gordo”
➡️Carlos M., alias “Coco”
➡️María L., alias “Pokemon”

Todos serán procesados por el delito de agrupaciones ilícitas y pagarán con décadas en prisión. 

Todos aquellos que pretendan continuar con esa cultura de muerte que las pandillas impusieron en el pasado, sepan que ahora tenemos un Estado que será implacable en hacer cumplir la ley y no descansaremos hasta erradicar por completo este cáncer de nuestra sociedad.

La #GuerraContraPandillas no se detiene.",False,si no han entendido que las pandillas ya no tienen lugar en nuestra sociedad nosotros sí tenemos claro dónde deben estar ya no vivimos más en los tiempos perversos en que les diseñaban leyes para que fueran impunes ahora como mínimo los menores de edad enfrentan 20 años tras las rejas y a los mayores les corresponden 40 años tras una operación exitosa por parte de nuestra se logró la captura de seis individuos incluyendo a uno mayor de edad todos ellos miembros de la estructura ms13 estos sujetos se dedicaban a realizar grafitis relacionados con la pandilla en centros educativos y zonas recreativas del departamento de usulután se trata de kevin yohalmo cerritos coreas alias pupusa roberto c alias piojiyin carlos s alias negro moisés a alias el gordo carlos m alias coco maría l alias pokemon todos serán procesados por el delito de agrupaciones ilícitas y pagarán con décadas en prisión todos aquellos que pretendan continuar con esa cultura de muerte que las pandillas impusieron en el pasado sepan que ahora tenemos un estado que será implacable en hacer cumplir la ley y no descansaremos hasta erradicar por completo este cáncer de nuestra sociedad la no se detiene,Government,0.0,"The tweet is a simple expression of gratitude towards the Minister of PNC and FFAAS, without expressing a strong positive or negative sentiment.",0
1291,8243,https://x.com/Rodromolinam/status/1362102096695279616,1613585421.0,1.3621e+18,,es,19/10/2010,Madrid,"@FranAlabi @SaludSV Dia histórico...aunque no entiendo el gasto en pintar camiones....ni en usar esto como arma política más que arma contra una enfermedad (lo que realmente es, y donado por OMS)",False,dia históricoaunque no entiendo el gasto en pintar camionesni en usar esto como arma política más que arma contra una enfermedad lo que realmente es y donado por oms,https://x.com/FranAlabi/status/1362080410595958789,1613580250.0,1.36208e+18,False,,False,False,,591.0,4514.0,178.0,es,"San Salvador, El Salvador",Francisco Alabi 🇸🇻,Ministro de Salud 🇸🇻 Médico Cirujano Laparoscopista y Bariátrico,410702.0,True,"Es un día histórico para nuestro país y en esta lucha contra la pandemia. Las vacunas están entrando a espacio aéreo salvadoreño.

Es un honor para el personal de @SaludSV poder cumplirle a la población 🇸🇻. https://t.co/IMdS2LqbDA",True,es un día histórico para nuestro país y en esta lucha contra la pandemia las vacunas están entrando a espacio aéreo salvadoreño es un honor para el personal de poder cumplirle a la población,Government,-1.0,"The tweet expresses criticism towards the government's decision to paint buses, considering it a waste of resources and an attempt to use it as a political tool, rather than a solution to a real health issue, which is donated by the World Health Organization (OMS).",-1
595,3882,https://x.com/JosePort210563/status/1270069407172214784,1591643118.0,1.27007e+18,,es,22/03/2020,El Salvador.,"@MariaLuisaHayem @nayibbukele Yo vendo comida ambulante. No trabajo desde el inicio de la cuarentena, desde marzo.desde entonces no tengo ingresos.aqui se han reunidos gentes de empresas.nosotros que?quien nos representara? Que haremos?he respetado todo pero necesito mis ingresos.ya llegue al limite.",True,yo vendo comida ambulante no trabajo desde el inicio de la cuarentena desde marzodesde entonces no tengo ingresosaqui se han reunidos gentes de empresasnosotros quequien nos representara que haremoshe respetado todo pero necesito mis ingresosya llegue al limite,https://x.com/MariaLuisaHayem/status/1270013941469626368,1591629894.0,1.27001e+18,False,,False,False,,265.0,3218.0,152.0,es,El Salvador,María Luisa Hayem 🇸🇻,Ministra de Economía de El Salvador,41321.0,False,"En seguimiento al mandato del Presidente @nayibbukele, activamos hoy, la Mesa de Reapertura Económica, integrada por Gobierno, representantes de 18 sectores productivos y organismos internacionales.",True,en seguimiento al mandato del presidente activamos hoy la mesa de reapertura económica integrada por gobierno representantes de 18 sectores productivos y organismos internacionales,Government,-1.0,"The tweet expresses a negative sentiment as the author is struggling to make a living since the beginning of the pandemic, feeling desperate and in need of income, which is a critical and disapproving tone.",-1
1360,8571,https://x.com/grateful2life/status/1699863763359285290,1694114077.0,1.69986e+18,,es,21/10/2022,,@FranAlabi @nayibbukele Gracias a Dios que la niña se va a recuperar!🙏🏽📿❤️🥰🧸,False,gracias a dios que la niña se va a recuperar,https://x.com/FranAlabi/status/1699541231196410228,1694037180.0,1.69954e+18,False,,False,False,339840.0,744.0,4405.0,283.0,es,"San Salvador, El Salvador",Francisco Alabi 🇸🇻,Ministro de Salud 🇸🇻 Médico Cirujano Laparoscopista y Bariátrico,410702.0,True,"El día de ayer, en el Hospital Bloom, operamos a una niña que sufrió un accidente en un centro comercial en Apopa. Gracias a la oportuna intervención de nuestros cirujanos plásticos, logramos salvar sus dedos, reduciendo cualquier riesgo de secuela que pueda afectarle en un futuro.

La niña ya fue dada de alta y estaremos dando seguimiento en el proceso de recuperación y rehabilitación.",True,el día de ayer en el hospital bloom operamos a una niña que sufrió un accidente en un centro comercial en apopa gracias a la oportuna intervención de nuestros cirujanos plásticos logramos salvar sus dedos reduciendo cualquier riesgo de secuela que pueda afectarle en un futuro la niña ya fue dada de alta y estaremos dando seguimiento en el proceso de recuperación y rehabilitación,Government,1.0,"The tweet expresses gratitude and relief that the girl is recovering, indicating a positive sentiment.",1
1055,6706,https://x.com/Sep0964/status/1766321274740158563,1709958783.0,1.76632e+18,93.0,es,09/06/2012,,"@Vi11atoro Una operación??? Que tubo como resultado a tres mujeres.....ese es un resultado extraordinario, fantástico, pregunto cuanto recursos invirtieron para ese megaresultado?",False,una operación que tubo como resultado a tres mujeresese es un resultado extraordinario fantástico pregunto cuanto recursos invirtieron para ese megaresultado,https://x.com/Vi11atoro/status/1765932707098329105,1709866141.0,1.76593e+18,False,,False,False,91749.0,283.0,1707.0,167.0,es,,Gustavo Villatoro 🇸🇻,Ministro de Justicia y Seguridad Pública,66426.0,True,"Los extorsionistas ya no tienen cabida en nuestra sociedad, estos cobardes que solo se han dedicado a aprovecharse del trabajo de los salvadoreños honrados ya no seguirán en nuestras comunidades.

Gracias a la eficaz labor de investigación e inteligencia llevada a cabo por nuestra @PNCSV, en coordinación con la @FGR_SV, hemos ejecutado la operación “DIN Apopa”, que dio como resultado la detención de tres mujeres  vinculadas a dos casos de extorsión.

Se trata de: 
➡️Sonia Noemy Medrano Catedral
➡️Diana Lisseth Medrano Catedral
➡️María Sonia Santamaría de Lara

Todas serán procesadas por el delito de Extorsión Agravada y pagarán con años en prisión. 

En esta operación están detenidos seis individuos más que se les imputarán cargos adicionales. 

Esa cultura de vivir a expensas del trabajo de los salvadoreños de bien se terminó para estos parásitos.

#ImpunidadCero",False,los extorsionistas ya no tienen cabida en nuestra sociedad estos cobardes que solo se han dedicado a aprovecharse del trabajo de los salvadoreños honrados ya no seguirán en nuestras comunidades gracias a la eficaz labor de investigación e inteligencia llevada a cabo por nuestra en coordinación con la hemos ejecutado la operación din apopa que dio como resultado la detención de tres mujeres vinculadas a dos casos de extorsión se trata de sonia noemy medrano catedral diana lisseth medrano catedral maría sonia santamaría de lara todas serán procesadas por el delito de extorsión agravada y pagarán con años en prisión en esta operación están detenidos seis individuos más que se les imputarán cargos adicionales esa cultura de vivir a expensas del trabajo de los salvadoreños de bien se terminó para estos parásitos,Government,0.0,"The tweet presents a factual statement about the outcome of an operation, asking a question about the resources invested, without expressing a clear positive or negative sentiment.",-1
